survey_id panel_id pid
3854 I00000117291 P00000190144
3854 I00000059992 P00000146221
3854 I00000094631 P00000312362
3854 I00000096623 P00000048606
3854 I00000150634 P00000339485
3854 I00000147254 P00000127260
3854 I00000116981 P00000350539
3854 I00000103864 P00000122002
3854 I00000036102 P00000379753
3854 I00000075558 P00000290808
3854 I00000077835 P00000003637
3854 I00000079522 P00000270876
3854 I00000149337 P00000178306
3854 I00000016378 P00000422404
3854 I00000101840 P00000171649
3854 I00000092724 P00000408319
3854 I00000090306 P00000288601
3854 I00000129195 P00000328574
3854 I00000122806 P00000008591
3854 I00000019695 P00000230814
3854 I00000002082 P00000360498
3854 I00000051212 P00000418563
3854 I00000110593 P00000038530
3854 I00000130314 P00000109239
3854 I00000008085 P00000031363
3854 I00000123138 P00000488241
3854 I00000096249 P00000022402
3854 I00000002508 P00000437870
3854 I00000044895 P00000312071
3854 I00000142006 P00000385052
3854 I00000130297 P00000019798
3854 I00000070946 P00000234408
3854 I00000110016 P00000457763
3854 I00000047176 P00000302637
3854 I00000025778 P00000102876
3854 I00000112153 P00000392151
3854 I00000038371 P00000052916
3854 I00000149198 P00000255420
3854 I00000128113 P00000113004
3854 I00000131121 P00000433177
3854 I00000100188 P00000078623
3854 I00000051792 P00000178190
3854 I00000002174 P00000013806
3854 I00000130425 P00000307800
3854 I00000002113 P00000208685
3854 I00000154762 P00000496731
3854 I00000150360 P00000332500
3854 I00000037215 P00000253254
3854 I00000136817 P00000413533
3854 I00000004774 P00000377620
3854 I00000090116 P00000280868
3854 I00000149197 P00000095929
3854 I00000103351 P00000205257
3854 I00000096439 P00000147519
3854 I00000102177 P00000173123
3854 I00000125435 P00000276210
3854 I00000109020 P00000413200
3854 I00000083533 P00000398445
3854 I00000090830 P00000491240
3854 I00000150602 P00000154925
3854 I00000077242 P00000011511
3854 I00000092104 P00000161880
3854 I00000079841 P00000013297
3854 I00000014097 P00000133129
3854 I00000036759 P00000053622
3854 I00000077029 P00000357139
3854 I00000055375 P00000339038
3854 I00000110271 P00000401713
3854 I00000047890 P00000445970
3854 I00000154965 P00000219964
3854 I00000121415 P00000409815
3854 I00000027335 P00000412407
3854 I00000097563 P00000279000
3854 I00000029200 P00000340072
3854 I00000144985 P00000260388
3854 I00000001242 P00000145977
3854 I00000090012 P00000044956
3854 I00000012973 P00000426680
3854 I00000121459 P00000142963
3854 I00000113934 P00000202604
3854 I00000147080 P00000109996
3854 I00000090429 P00000047093
3854 I00000059822 P00000096476
3854 I00000125898 P00000354326
3854 I00000114451 P00000134449
3854 I00000143607 P00000180093
3854 I00000087523 P00000381883
3854 I00000068652 P00000098293
3854 I00000014402 P00000292867
3854 I00000063807 P00000349737
3854 I00000032447 P00000295970
3854 I00000094625 P00000040581
3854 I00000023288 P00000051994
3854 I00000063175 P00000209503
3854 I00000029672 P00000405790
3854 I00000126870 P00000188274
3854 I00000112281 P00000355955
3854 I00000124452 P00000368167
3854 I00000106526 P00000303755
3854 I00000101864 P00000057291
3854 I00000049547 P00000498366
3854 I00000100174 P00000238030
3854 I00000019807 P00000275566
3854 I00000007040 P00000010115
3854 I00000051425 P00000241559
